id_sequence,surge1_t0,surge1_t1,surge1_t2,surge1_t3,surge1_t4,surge1_t5,surge1_t6,surge1_t7,surge1_t8,surge1_t9,surge2_t0,surge2_t1,surge2_t2,surge2_t3,surge2_t4,surge2_t5,surge2_t6,surge2_t7,surge2_t8,surge2_t9
5600,-0.15363996,-0.09614851,0.44311064,0.11934771,-2.8814871,-2.390119,-0.8067485,-0.76497936,-1.1814656,-1.137522,0.42436945,1.0874771,-1.001391,-0.6475526,0.27536416,0.21248975,-0.27840325,-0.2557278,-0.6209457,-0.8310241
5601,1.3505152,0.045781218,0.40156364,0.26687145,1.2844096,0.76047605,2.0658388,1.4338123,1.8452067,1.7683369,2.4408503,1.3354025,0.36409435,0.21337943,0.3402929,0.5556769,0.55154514,1.2530994,-0.10964708,-0.09191142
5602,-1.4273899,-1.9393958,-1.2747436,-1.3034654,-0.41145226,-0.37356347,-0.37564105,-0.42311427,-0.5879931,-0.25294176,0.1878618,0.08404545,-0.39885458,-0.28152013,-0.038812194,-0.09040111,-0.5330668,-0.5958342,-0.26201227,-0.3255159
5603,-0.4430553,-0.4646781,0.56915796,0.511407,-0.017607523,-0.06564562,0.25499463,0.23032582,0.63292176,-0.00892194,-1.2099363,-1.2443867,0.3025217,0.16697702,-0.37298787,-0.26453382,-0.010645,-0.22512673,0.58145946,0.29061303
5604,0.27424872,0.23942505,0.74332875,0.47779942,0.9234906,1.1377076,-0.17897612,-0.3022714,0.26346594,0.2632055,0.17279422,-0.036826964,1.0750338,1.5657924,0.2967168,0.18866952,-0.41891292,-0.25109774,0.47132173,0.32828173
5605,-0.3614116,-0.3216023,-0.12656263,-0.2510202,0.52481985,0.47827783,0.37863776,0.4462655,0.5620065,0.12569886,-0.14250809,-0.23596649,0.12606767,-0.16062975,-0.20806588,-0.06820988,0.14624006,0.19640474,-0.43413994,-0.6786423
5606,0.27596834,0.045385297,1.1115848,0.6445642,0.13397907,0.2736973,0.739269,0.93367994,1.7869037,2.201041,2.186369,1.5275248,0.24599782,0.6701105,0.4227687,0.32155964,0.503473,-0.015984181,1.3057938,1.6186805
5607,-1.2941818,-1.3056239,-0.1606022,-0.21670416,1.4966605,1.3174073,0.30776098,0.096770875,0.67194426,2.0105844,-0.5582376,-0.33249655,0.79461384,0.6597302,1.0868421,1.623429,0.27746433,-0.30633152,2.1408777,0.9287129
5608,1.1682558,1.6445674,-0.2946351,0.030056808,-1.0489472,-1.1827332,-1.5120718,-1.1087261,-3.0525448,-2.7066658,-0.45259476,-0.6970602,-0.53530645,-0.6631868,-0.25202793,-0.15811647,-0.55577105,-0.577276,-1.6567895,-1.4717102
5609,-0.5300762,-0.6930134,0.4160256,-0.25328082,0.23201899,-0.21800478,0.020595228,-0.07861194,-0.103395395,-0.28039265,0.013388329,0.01899278,0.4939059,0.1632559,-0.06194164,-0.3377746,-0.9286325,-1.188548,-0.10381243,0.07461652
