id_sequence,surge1_t0,surge1_t1,surge1_t2,surge1_t3,surge1_t4,surge1_t5,surge1_t6,surge1_t7,surge1_t8,surge1_t9,surge2_t0,surge2_t1,surge2_t2,surge2_t3,surge2_t4,surge2_t5,surge2_t6,surge2_t7,surge2_t8,surge2_t9
5600,-0.97404665,-0.88088834,-0.2892293,-0.41553187,-0.75614196,-0.91809213,-0.80606735,-0.6794444,-1.9463179,-2.0574455,-1.0248557,-0.8457988,-0.29935494,-0.4321139,-0.7686532,-0.92679524,-0.78847337,-0.67620355,-1.9444866,-2.053029
5601,2.4226875,1.6388988,0.828019,1.6446123,0.71142435,1.2683809,2.3469727,1.8629268,-0.13822828,1.9427414,2.4454687,1.6819067,0.819777,1.6802467,0.7606168,1.2702639,2.3725026,1.8444338,-0.14374617,1.9476906
5602,-1.0102789,-1.2659919,-2.4332879,-2.3873835,-0.54149395,-0.33018178,0.26980412,0.24737069,0.39273047,0.63953346,-1.0193549,-1.2703291,-2.4441671,-2.3647904,-0.5513628,-0.33571815,0.2791093,0.24682027,0.4015029,0.6412389
5603,-0.6126049,-0.5709014,-0.09300268,-0.23466294,-0.062533215,-0.108099,-0.7874469,-0.6871662,-0.20571744,0.032084957,-0.6067993,-0.57179976,-0.0947647,-0.22697802,-0.05797402,-0.11220594,-0.7937017,-0.6812965,-0.21423006,0.018504739
5604,0.84521306,0.7516441,-0.19257134,-0.2984652,-0.24502778,-0.19102041,-0.29521695,-0.09586407,-0.99912864,-0.6032868,0.8422297,0.76498795,-0.20236665,-0.29944044,-0.24797764,-0.1904497,-0.29773054,-0.099830985,-0.9922345,-0.59977895
5605,-0.16411056,-0.10143556,-0.049363315,-0.08599968,-0.045694306,0.12656432,-0.20605245,-0.29752827,-0.33034068,-0.646817,-0.16407168,-0.08590068,-0.04639507,-0.08885747,-0.043661237,0.118102,-0.20034435,-0.29802078,-0.34077546,-0.6394428
5606,0.8740538,0.51985854,0.6194485,0.9314652,1.0562671,0.497303,0.07854508,-0.060646087,1.2518449,1.0278722,0.89153147,0.52413565,0.6099369,0.9311613,1.0714607,0.5193349,0.07612947,-0.06914346,1.2683669,1.0242741
5607,0.22492237,0.06982644,1.5808139,3.4320858,1.3659945,0.8717184,1.9700167,2.1723943,0.41164133,1.292386,0.21654272,0.05959122,1.5553104,3.4453273,1.3698524,0.8824641,1.9652861,2.169105,0.3864577,1.2642226
5608,-1.0846808,-0.8048495,-1.3340676,-1.6018974,-0.7431356,-0.5420311,-1.425683,-1.2314711,-1.0895152,-0.7445901,-1.0553658,-0.7789997,-1.3294842,-1.5955352,-0.7515074,-0.52052456,-1.4228274,-1.219213,-1.0831193,-0.7314397
5609,0.009087615,-0.100799724,0.8382405,0.95172185,1.4019303,0.8594307,0.5403162,-0.096387014,-0.8368071,-0.99605525,0.029318921,-0.09007169,0.8351768,0.94719213,1.4300784,0.87408555,0.5812592,-0.083988786,-0.78882337,-0.98303425
5610,-0.35570592,-0.110511556,0.48954308,0.30439073,1.2555888,1.5076708,0.9456119,1.0485232,-0.5567664,-0.3168044,-0.34440047,-0.11786738,0.48917362,0.3101529,1.246623,1.4848814,0.96061254,1.0300072,-0.55758417,-0.30599743
5611,0.28345615,0.98562086,1.0638753,-0.27353746,-0.30786666,-0.45777804,1.657742,2.2597442,0.7364906,1.5346031,0.27420664,0.96483546,1.0486643,-0.24770801,-0.31559035,-0.4701112,1.6681594,2.2435737,0.7277064,1.5491322
5612,0.64780647,1.3432412,-0.41223976,-0.28547335,-1.4386699,-1.4983774,-1.1610653,-1.4367778,-0.14280881,0.023365423,0.66856784,1.3525041,-0.43011189,-0.2835322,-1.4438622,-1.5066406,-1.1638479,-1.4498407,-0.12939656,0.023374334
5613,-0.20705757,-0.27971035,-0.8185563,-0.9661422,-0.7038333,-0.7640878,-0.08304848,0.97881484,-0.8916741,-0.74489707,-0.2159437,-0.28286093,-0.8149465,-0.9786787,-0.713558,-0.7369099,-0.07700867,0.971712,-0.898833,-0.7465777
5614,-1.3890471,-1.4753166,-0.2859707,-0.32773972,-0.2887904,-0.10041253,-0.21140516,-0.07493813,-0.26764834,-0.3056752,-1.3962091,-1.4629854,-0.2775587,-0.33206588,-0.29834336,-0.11642346,-0.20156947,-0.07536763,-0.24840087,-0.3028143
5615,-1.1339631,-1.3402328,0.055033278,-0.28028083,0.2504294,-0.15298794,0.67299104,0.6056047,0.16769135,0.7464561,-1.153409,-1.3596537,0.06307751,-0.2539116,0.26645166,-0.15309723,0.6839481,0.5909155,0.18302697,0.7335337
5616,-0.26809847,-0.09402366,-0.16215271,0.13483,-0.18795049,-0.17443673,0.06578308,0.10860788,0.7978159,0.5517285,-0.26137033,-0.08479287,-0.16301578,0.14623068,-0.1791889,-0.17045914,0.06597186,0.10766438,0.8047321,0.55092406
5617,-0.47534603,-0.3491223,-0.08984125,-0.0067705065,0.18254867,0.27781916,0.65336275,0.51628196,-0.20847261,-0.26922375,-0.463784,-0.34636068,-0.07612648,-0.0036839247,0.19108841,0.27896315,0.6578138,0.522012,-0.21104145,-0.2528779
5618,0.20855872,0.13669908,0.22397685,0.051204965,0.53720844,0.57205564,0.39739984,0.3864485,-1.2561071,-1.2016205,0.18664879,0.12989068,0.21735272,0.053724565,0.54133844,0.57811403,0.39598927,0.38392752,-1.2676545,-1.1889814
5619,1.1217072,1.1895432,-1.3050776,-1.3754386,-1.3065343,-1.2299093,-0.33977908,-0.58773607,-1.0164921,-1.0821755,1.1345313,1.1661861,-1.3283169,-1.3634462,-1.3141701,-1.236211,-0.32937497,-0.5906034,-1.0118277,-1.0697683
5620,-1.4071691,-1.0960606,-2.4300272,-2.5169375,-1.3314869,-0.71270466,-0.23564357,1.1147771,1.0474998,2.3669348,-1.406606,-1.0929353,-2.4632034,-2.5143433,-1.3456746,-0.71642584,-0.24223658,1.1036054,1.0457807,2.3399603
5621,0.45822498,0.38231605,-0.76288116,-1.1242175,3.696382,2.5619287,0.010876656,0.5060034,2.7371566,3.0088692,0.4718805,0.36503524,-0.7759787,-1.1538808,3.7245576,2.573976,-0.0066254474,0.51830214,2.7191951,3.0223806
5622,2.5851414,1.9221922,1.2380769,1.0371675,-0.5349085,-0.5875004,0.7962227,2.659722,-0.58468187,-0.5980969,2.5648818,1.915615,1.2455124,1.0385071,-0.53297025,-0.5643486,0.8100863,2.6656976,-0.58644336,-0.6156996
5623,0.12627646,-0.4148208,1.2866635,1.9804562,-0.9165729,-0.7089305,-0.8805584,-0.5689213,-1.0570853,-0.6360657,0.11139713,-0.4149893,1.3231202,1.9788871,-0.9088012,-0.7025919,-0.88518846,-0.5626534,-1.057665,-0.6150171
5624,0.22991347,0.07152591,0.5243834,0.28689843,0.08418766,0.33584964,-0.1742278,-0.16833158,-0.33040875,-0.38051426,0.23853666,0.07012509,0.54041404,0.27211267,0.0891352,0.32878947,-0.18556532,-0.16486137,-0.32383007,-0.36438185
5625,0.7899581,1.0648769,-0.697611,-0.7238784,-1.099752,-1.0611165,0.06285094,-0.45412093,-0.436845,0.24302168,0.81025666,1.0643595,-0.7149798,-0.7297806,-1.1017969,-1.0654007,0.066388115,-0.4462517,-0.445414,0.24309699
5626,-0.34482965,-0.25394017,0.2887565,0.12084216,1.265841,1.1713232,-1.1969926,-1.1953057,-0.42632797,-0.40768415,-0.34330595,-0.24399458,0.28782973,0.13716234,1.2671019,1.1910596,-1.192118,-1.1707687,-0.43370378,-0.38695866
5627,-0.05132413,0.2307621,0.090333976,0.19940588,0.9216796,1.1296366,-0.59427005,-0.5197191,1.4527712,1.1521658,-0.03267604,0.23463796,0.09222806,0.20164639,0.9330593,1.129835,-0.5740187,-0.52193564,1.4697058,1.1568809
5628,-0.36544868,-0.5294557,-0.49481726,-0.16684614,-0.5787855,-0.5823636,-0.068747014,-0.074611664,0.96914357,1.4623121,-0.35921505,-0.5097226,-0.48546186,-0.16041718,-0.56391555,-0.5983993,-0.058446325,-0.06400666,0.9682349,1.4636533
5629,0.2238913,0.09489453,-0.41232887,-0.4913113,1.4112,0.23954242,0.36717296,0.08389252,-0.4985131,-0.42458564,0.24063468,0.094619945,-0.39647558,-0.4613458,1.4116231,0.24842243,0.35889593,0.1029225,-0.49850026,-0.42870772
5630,-2.5255475,-2.559455,-0.117013246,-0.44029713,0.6317679,2.6985054,-1.0352423,-0.88165545,-0.62898856,-0.56369275,-2.5598736,-2.5287437,-0.12623551,-0.46393692,0.63203007,2.6372993,-1.0502448,-0.88659364,-0.620986,-0.5519122
5631,-0.018613368,0.37259007,-0.40633348,-0.42086422,0.16845134,0.65218854,1.4014149,2.567929,-2.0791142,-1.8530238,-0.030147336,0.38600975,-0.41602516,-0.43775618,0.16797319,0.6698034,1.399328,2.5651867,-2.0708756,-1.8412452
5632,-0.38224977,-0.6373559,2.0206628,0.95588183,-0.7318186,-0.98074234,0.86714023,0.6010738,-0.34919965,-0.59419644,-0.37946627,-0.65274173,2.0354636,0.9466053,-0.72768027,-0.977916,0.87178445,0.59159863,-0.34434885,-0.6001696
5633,0.2088802,0.8813202,0.68371195,2.110083,-0.46875757,1.9584595,0.59388965,0.250981,-0.26739234,0.9942419,0.22279364,0.88626754,0.72004896,2.1156158,-0.43154666,2.0044258,0.65911126,0.23072597,-0.27835846,1.0015519
5634,-0.0060067624,0.17684501,-0.113265604,-0.09943111,0.59656465,1.8837945,1.5880203,1.9575596,1.651509,1.7287176,-0.012062602,0.17110911,-0.110727094,-0.09090023,0.59199315,1.9056993,1.5944474,1.9499092,1.6574152,1.7232999
5635,0.060652032,0.14652523,0.098028205,0.3125723,-0.08877346,0.40748686,-0.2773742,-0.035866916,-0.6511796,-0.73311925,0.061741523,0.15301609,0.10223471,0.32591534,-0.07675206,0.4284649,-0.25562266,-0.031199709,-0.63723963,-0.7508925
5636,1.6292963,2.9965014,0.82754695,0.62240726,-0.078072205,-0.18646576,-0.9764939,-0.70737547,-0.75013846,-0.8228001,1.6309593,2.9955533,0.8335291,0.64356184,-0.06552985,-0.19062354,-0.97055393,-0.7262326,-0.73176295,-0.83280134
5637,-1.0065851,-0.9997177,-0.7687901,-0.7515561,0.04383353,0.107569695,0.7575207,2.1331985,-0.13842228,-0.19053437,-1.0115869,-0.9889108,-0.7627093,-0.7295947,0.04360843,0.109391645,0.752559,2.1192544,-0.14346746,-0.2073815
5638,0.08252752,-0.10443838,0.41253793,0.08040519,-0.39501715,-0.11100976,-0.011797041,0.019368246,0.40653637,0.2903005,0.07562562,-0.112008974,0.4173567,0.08744143,-0.3971992,-0.104862556,-0.004294295,0.0344842,0.3981025,0.28810924
5639,-0.41560528,-0.42141986,-0.4404242,-0.5487502,-0.0007637739,0.054671094,0.7713088,0.473023,0.6356683,0.609328,-0.40847945,-0.41428888,-0.44346827,-0.5477538,0.00056125224,0.048661754,0.77784276,0.48451453,0.6435155,0.6095474
5640,-0.011797458,0.008663699,-0.5235955,-0.50957644,-0.8052373,-0.67122656,0.5647574,0.37481135,-0.27886936,-0.43472403,-0.021573886,0.014993168,-0.50749224,-0.51691294,-0.80258995,-0.66481155,0.5421325,0.37157166,-0.27917373,-0.4143598
5641,1.1770952,0.38007432,-0.5350727,-0.4935466,-0.17941627,0.005894929,0.0055815727,-0.44774145,1.5592804,0.5209345,1.195879,0.36901474,-0.536671,-0.5007236,-0.16916004,0.012855232,-0.0043855645,-0.4311909,1.5689559,0.5256909
5642,-0.11971724,-0.08779512,-0.5742378,-0.05252242,1.9839325,1.7042181,1.0377,0.61010736,0.43503335,0.3081584,-0.12572789,-0.094196975,-0.56835395,-0.06252737,1.9910213,1.7177035,1.0575024,0.6311856,0.42474553,0.31906477
5643,0.5793436,0.577311,-0.45369798,0.1237565,-1.6364663,-1.2117299,-0.16590305,0.14920956,0.26760998,-0.27447736,0.57948,0.5812876,-0.45728496,0.1096606,-1.634379,-1.2482454,-0.18806708,0.114101335,0.25030574,-0.28714246
5644,-0.54517126,-0.6848211,-0.069913074,0.14823814,0.14867434,-0.13755243,-0.7735921,-0.6323148,1.069221,0.26994926,-0.5329032,-0.66934747,-0.05325889,0.13409847,0.1658569,-0.14817713,-0.75599474,-0.6397551,1.0856203,0.27355444
5645,-0.4541639,-0.45318252,-0.41601732,-0.3908133,-0.52495134,-0.514872,-0.71305174,-0.6785143,2.3073156,1.97688,-0.45040867,-0.4580711,-0.41995782,-0.4050662,-0.520017,-0.5068933,-0.70363665,-0.6760106,2.313617,1.9730183
5646,0.38188112,0.05166912,0.7433701,0.61168087,0.07689692,0.12230404,-0.37470585,-0.24150555,-0.20844197,-0.044356972,0.39456227,0.048578307,0.7379872,0.6115589,0.07282705,0.12511894,-0.3645315,-0.25143844,-0.19575918,-0.045737356
5647,-0.31919718,-0.25700635,0.14333786,0.037432738,0.8793905,0.30334336,-0.4333328,-0.5583977,1.5015018,0.9543183,-0.30648634,-0.24788614,0.16210435,0.046073616,0.8959841,0.3107735,-0.43361312,-0.55292886,1.5309429,0.9475882
