id_sequence,surge1_t0,surge1_t1,surge1_t2,surge1_t3,surge1_t4,surge1_t5,surge1_t6,surge1_t7,surge1_t8,surge1_t9,surge2_t0,surge2_t1,surge2_t2,surge2_t3,surge2_t4,surge2_t5,surge2_t6,surge2_t7,surge2_t8,surge2_t9
5600,-0.71588475,-0.54672354,-0.43264648,-0.35759982,-0.2969348,-0.49148312,-0.42782173,-0.098956004,-0.061153293,0.23410793,-0.56464535,-0.453835,-0.49217403,-0.22593437,-0.38272804,-0.2565974,-0.19380532,-0.12677503,-0.04296414,-0.04872107
5601,0.44640762,-0.2539102,-0.12122347,-0.1697346,-0.30732715,-0.4303749,-0.08672823,-0.08821828,0.20361479,0.14497629,-0.30845287,-0.18828084,-0.14585994,-0.03271829,-0.17651176,-0.08179808,-0.024570407,-0.3130042,-0.048390612,0.112597
5602,-0.47550222,-0.61934346,-0.3762477,-0.44151923,-0.21855147,-0.28882402,-0.52982676,-0.363729,-0.34126908,0.026172908,0.41025403,0.3206967,0.42355567,0.03416538,0.2565889,-0.02164434,0.04181114,0.5149049,-0.029947152,0.14343347
5603,0.34531286,0.53795856,0.6045213,0.060554605,0.23515514,0.12509382,0.022238733,-0.1366968,-0.13532108,-0.030041948,0.47046903,0.54261196,0.27644482,0.39506382,0.3371134,0.061139826,0.12850875,0.035396136,0.21614055,0.071517944
5604,0.099926695,-0.0073572323,0.100610614,-0.13831176,-0.17181166,-0.17442909,-0.16593267,-0.103882916,-0.08258992,0.06887388,0.79226553,0.56402385,0.51927567,0.42063197,0.3446829,0.005158612,0.22507803,0.07316262,0.19289534,0.14583567
5605,-0.041141767,-0.680903,-0.10151231,-0.33451095,-0.5288888,-0.66585904,-0.48832148,-0.09025915,-0.27403215,0.4478911,-0.52923876,-0.77554315,-0.7862846,-0.8531024,-0.5206072,-0.72835106,-0.5207495,-0.5007353,-0.18048456,-0.19107427
5606,1.4612368,1.5155828,0.89723814,0.64839333,0.5264141,0.47840366,0.596615,0.0304066,0.2184185,0.10632043,0.0019316063,-0.18790177,-0.35795236,-0.39624697,-0.53358823,-0.482998,-0.43978158,-0.23885325,-0.03927549,-0.30133718
5607,-0.16151157,-0.5189363,-0.20656298,-0.01367992,-0.30029717,-0.2152777,-0.57056415,-0.14690635,-0.15530594,0.12362354,-0.32769483,-0.019636083,-0.0055604796,-0.016730143,-0.12426507,-0.20060794,0.033167627,-0.2610983,-0.41891468,0.05094044
5608,-0.6226432,-0.33070627,0.08917469,-0.1550969,-0.17047398,-0.220387,-0.27686706,-0.07953251,-0.31865266,-0.05032457,-0.0829055,-0.28998253,-0.13083844,-0.16475305,-0.12263027,-0.08152949,-0.10661368,0.022518924,0.039669763,0.23312993
5609,-0.25432852,-0.5251789,-0.3476187,-0.18670918,-0.3370278,-0.36621362,-0.40192604,-0.030541435,0.14162761,0.120833926,0.14460024,0.010955539,0.32490596,0.2365612,0.28072417,0.27636066,0.21316144,0.20032845,-0.14816807,-0.16544347
5610,-1.2143232,-1.5260189,-0.86600995,-0.5274744,-0.6722864,-1.0789783,-0.8838044,-0.57240856,-0.23651133,0.39183292,1.511395,1.1711633,0.9692376,0.8369677,0.8083302,0.32670608,0.4297112,0.6175894,0.0077919294,0.39857554
5611,1.0290558,1.9873348,1.6053398,0.840423,0.8328975,0.63456213,0.59824,0.25435793,0.34433204,-0.56272995,-0.60722476,-0.5608562,-0.31683418,-0.4332086,-0.38002896,-0.23644525,-0.3513509,-0.15253147,-0.24230063,-0.07299772
5612,-0.94702405,-0.8348603,-0.5367451,-0.55127126,-0.21216352,-0.37345955,-0.7090145,-0.712627,-0.34371167,0.33031318,0.7649434,0.8566503,0.4433579,0.82605445,0.5721448,0.24470246,0.22850361,0.25935054,0.4350247,0.008824965
5613,1.1366687,1.0398641,0.7384736,0.6532723,0.4531896,0.47236526,0.08757792,0.08861109,-0.1414865,0.013318205,0.8551867,0.6173267,0.7177535,0.5072179,0.13089661,-0.04093352,0.040598758,0.1181342,-0.087597586,0.09452552
5614,-0.49540782,-0.8204053,-0.6419763,-0.3989566,-0.2576871,-0.35761723,-0.22536796,-0.21648285,0.091064945,0.2824077,-0.18251075,-0.2970999,-0.18863133,-0.18678325,0.021373354,-0.030966226,0.058659393,-0.15836173,-0.18008511,-0.099017784
