id_sequence,surge1_t0,surge1_t1,surge1_t2,surge1_t3,surge1_t4,surge1_t5,surge1_t6,surge1_t7,surge1_t8,surge1_t9,surge2_t0,surge2_t1,surge2_t2,surge2_t3,surge2_t4,surge2_t5,surge2_t6,surge2_t7,surge2_t8,surge2_t9
5600,-0.92148006,-0.83594096,-0.91892034,-0.9036077,-0.88299423,-0.7536793,-0.75444514,-0.41796577,-0.5155209,-0.2531837,-0.48265445,-0.3146202,-0.40660322,-0.18362758,-0.2255709,-0.13089676,-0.11689939,-0.0440617,-0.16889545,0.0033891737
5601,0.4688636,-0.034366485,0.099758945,0.1513421,0.1933736,0.23729375,0.10562036,0.14029813,0.2118031,-0.0070274277,-0.15427867,-0.13653636,-0.0027224955,-0.08478831,-0.042313352,-0.09649238,-0.14858413,-0.07688009,-0.036878817,-0.1677397
5602,-0.5887213,-0.3811974,-0.010317467,0.18300425,-0.066164315,-0.16675994,0.1204742,-0.105022974,-0.0046055275,-0.19553457,0.66897416,0.41937637,0.48803216,0.16065745,0.31608889,0.08517046,0.25989223,0.20165148,0.310834,0.11318451
5603,-0.105530545,0.1135847,0.35633108,0.3158568,0.10912745,0.18740928,0.061597865,0.2110733,0.19414192,0.015506528,0.55663013,0.5817463,0.75149804,0.6217501,0.5587267,0.47550374,0.34914753,0.28699073,0.07986436,0.31126693
5604,0.039229978,0.28962204,0.14173974,0.068786636,0.15469657,0.12390321,-0.07696121,0.08217262,0.123026945,-0.08156247,0.6249987,0.64106166,0.541728,0.5345231,0.43522966,0.4445654,0.25374842,0.28643703,0.19029729,0.15859452
5605,0.28550464,0.14125626,-0.14753269,-0.24378254,-0.20334412,-0.20409957,-0.058512703,-0.33778682,-0.087479606,-0.10968738,-0.28531837,-0.20024,-0.14621201,-0.13154036,-0.27888152,-0.12835975,-0.060195133,-0.2669663,-0.13296776,-0.21478191
5606,2.5732574,2.5555987,1.3391472,0.8426336,0.7147122,0.69435614,0.39201605,0.44331744,0.2506335,0.4837562,-0.40368694,-0.3310416,-0.63666856,-0.5363261,-0.38205385,-0.50738144,-0.5565732,-0.47794157,-0.2174052,-0.29506582
5607,0.87956655,0.16124418,-0.11080924,0.3903755,0.66750765,0.4058841,0.23602132,0.38321576,0.3613069,0.2587751,0.10598626,0.28032598,0.63866997,0.5105472,0.6346995,0.7187077,0.6293972,0.48479396,0.37332964,0.33308887
5608,-0.8234305,-0.5150844,-0.7256739,-0.88792026,-0.6410459,-0.69596815,-0.6158472,-0.31918564,-0.53706086,-0.09096266,-0.049669426,0.1493499,0.11999484,0.30307153,0.090658374,-0.0030037786,0.0278974,0.06620811,0.15985268,0.0786495
5609,-0.16071908,-0.16706239,-0.04600809,-0.0076558897,0.042287778,0.13764846,0.034651864,-0.012903763,0.005002976,-0.049641512,0.66341835,0.60236347,0.46985865,0.35644278,0.44111612,0.343505,0.23918304,0.2866018,0.48726496,0.028301412
5610,-1.2600168,-1.4470853,-1.5100945,-1.691687,-1.3482772,-1.1800414,-0.82952744,-0.7983817,-0.6588883,-0.41970643,2.00859,1.7574947,1.6296933,1.2562639,1.1375499,0.90375257,0.7834724,0.54309815,0.43361363,0.41216922
5611,1.2788019,2.2569118,2.264319,1.7711962,0.95943916,0.9491576,0.55357194,0.6445599,0.36081097,0.65667903,-0.78381217,-0.66036135,-0.55407846,-0.6321728,-0.46660256,-0.30831242,-0.49263626,-0.24775638,-0.40498853,-0.39675364
5612,-0.92539483,-0.6497824,-0.5445931,-0.65252894,-0.4392645,-0.42852747,-0.48143244,-0.4737255,-0.38855532,-0.31594306,1.0453125,0.8528714,0.56960714,0.40517697,0.44404045,0.30780375,0.23398758,0.346697,0.2931852,0.1381428
5613,0.9326999,0.70291066,0.3820412,0.034359567,-0.043428227,0.2358059,0.2664356,0.25880855,-0.0022340668,0.27725053,0.87705505,1.0564021,0.9834287,0.82991105,0.6848763,0.5864235,0.44525766,0.29826576,0.17200287,0.26134995
5614,-1.2618648,-1.1548028,-1.0078844,-0.8282314,-0.5056309,-0.58532107,-0.42396396,-0.41182092,-0.37591326,-0.37635282,-0.23871125,-0.16083217,-0.11514978,-0.18171373,-0.096030034,-0.030595249,-0.06679109,-0.27560455,-0.024443714,-0.1411098
5615,-0.46561408,-0.44510975,-0.45505613,-0.7784317,-0.71661866,-0.5399425,-0.557659,-0.36654603,-0.33962557,-0.23393331,0.26691586,0.33211386,0.5107342,0.5938695,0.43754297,0.4815514,0.55601615,0.3987604,0.44383663,0.32207566
5616,-0.250692,-0.050194632,0.118305735,-0.0021382286,-0.09119476,-0.05490515,-0.109962754,-0.028238595,-0.09054623,-0.14208044,-0.6860258,-0.5785981,-0.5848393,-0.43888956,-0.34175298,-0.35440022,-0.36824316,-0.23999605,-0.27624205,-0.13235423
5617,0.1291473,0.21876138,0.24474521,0.11613614,-0.004298586,0.010035513,-0.03673593,-0.05545544,-0.0010497775,-0.066194125,-0.2204343,-0.12537612,-0.13118187,-0.056881383,-0.15065446,-0.1865574,-0.060157236,-0.07443047,-0.09513233,-0.116319805
5618,-0.25554186,-0.7505126,-0.40067655,-0.13831443,-0.12009784,-0.1708655,-0.08647543,-0.22263712,-0.07877147,-0.25184625,-0.14713942,-0.024610618,-0.033108514,-0.10561486,0.0042749667,-0.29274306,-0.050079405,-0.14586653,-0.16446769,-0.14115626
5619,0.733818,0.21106568,-0.21982212,-0.27732235,-0.37137875,-0.26905718,-0.2237368,-0.14934242,-0.22299151,-0.15218472,-0.69551164,-0.6341323,-0.55319715,-0.45604965,-0.39705583,-0.4326279,-0.3746766,-0.25228244,-0.23757653,-0.23598908
5620,-0.5576298,-0.5413744,-0.71921337,-0.78831685,-0.7885513,-0.71718246,-0.6143971,-0.55892295,-0.5937712,-0.3309571,-0.30709952,-0.44885233,-0.60036427,-0.5957322,-0.5253215,-0.37025774,-0.28415483,-0.28930885,-0.10613247,-0.08344324
5621,0.38403404,0.9694591,1.1556422,1.1301333,0.7621061,0.6741324,0.34767926,0.55118394,0.10204398,0.15255274,-1.0844653,-1.2675707,-1.1025395,-0.86321324,-0.8654965,-0.64320403,-0.68884057,-0.6414605,-0.58544093,-0.2222458
5622,0.34690508,0.10533527,0.038136758,0.6776239,0.79405886,0.3485646,0.2556326,0.27461442,0.3584421,-0.0732528,-0.3302254,0.037714534,0.19510561,0.3140322,0.4331584,0.13266392,0.38411927,0.33989844,0.07157459,0.025148904
5623,1.0012486,1.4894712,1.4488214,0.99280214,0.73160714,0.36317345,0.4172091,0.36974648,0.24340996,0.31328967,-0.37783244,-0.09481329,0.192929,0.2714526,0.20281553,0.14835657,0.18688594,0.023129322,-0.011927811,0.045289487
5624,-0.32994622,-0.1556199,0.20547123,0.056539644,0.18924333,-0.040417027,0.16989568,-0.016308218,0.10865724,0.03984438,0.4459808,0.40829012,0.50735074,0.45911846,0.41985452,0.3264419,0.20830323,0.3539329,0.18145256,0.25242373
5625,0.4187713,0.5085428,0.6079379,0.4300345,0.26161975,0.4029596,0.31248105,0.15230197,0.31042844,0.0609348,0.23036996,0.2681361,0.13738424,0.13130084,0.0011284552,-0.1446731,-0.022450063,0.09420421,-0.019142985,-0.003832776
5626,0.65886587,0.6662115,0.16249502,-0.011658303,0.03204206,0.059088822,-0.008174067,-0.040451434,-0.14123048,-0.20477699,-0.27865073,-0.46768478,-0.53206736,-0.5851855,-0.57023585,-0.6079397,-0.4171942,-0.3121384,-0.3334201,-0.20229173
5627,0.065237254,-0.00073738303,0.101024464,0.012897408,0.092372194,-0.022664882,-0.06994055,-0.10990289,-0.1248391,-0.06886598,-0.17627916,-0.27088338,-0.30070454,-0.3215299,-0.18409324,-0.18061984,-0.2704542,-0.4171948,-0.21511473,-0.15699874
5628,-0.14308684,-0.3601633,-0.049635682,0.022225384,-0.26663786,-0.0681573,-0.20375282,-0.0729212,-0.075739056,-0.09065749,-0.27391636,-0.117049895,-0.19743311,0.04817721,-0.07919256,0.04704181,-0.037725013,-0.07437857,-0.12300675,-0.05292721
5629,0.2552027,0.1455875,0.18648055,0.19207647,0.23012337,0.12583637,0.21864648,0.15756942,-0.066532016,0.0978701,-0.7269957,-0.7311988,-0.8655678,-0.6667868,-0.4209369,-0.55210257,-0.527771,-0.52525026,-0.32455468,-0.30323306
5630,-0.60603034,-0.45280012,-0.9343382,-0.99177605,-0.79171634,-0.6961548,-0.5993657,-0.35774913,-0.47095105,-0.24381836,0.96656454,1.1073817,1.0753503,1.0121689,1.0864141,0.9286106,0.78996414,0.63504905,0.67496824,0.27760807
5631,0.60229635,1.0501096,1.2070609,0.84578323,0.5100705,0.5172446,0.29144254,0.38005728,0.2530371,0.43570325,-0.32134327,-0.13654731,-0.00927354,-0.03274468,-0.30300525,-0.2328743,-0.04519545,0.0047619254,-0.39239302,-0.16771184
5632,-0.34396458,-0.38180202,-0.31825384,-0.45720938,-0.5405422,-0.24733517,-0.3240706,-0.30708852,-0.24238239,-0.13636574,0.22598734,0.2962184,0.40659446,0.20045339,0.20553905,0.09401934,0.13783939,0.04732002,-0.21167304,0.003966538
5633,0.982914,-0.21065861,-0.6865401,-0.46693224,-0.35662112,-0.3133092,-0.3704165,-0.023800677,-0.32008103,-0.25817066,-0.108692676,-0.13331454,0.02857331,0.0002353997,-0.03964532,-0.011920113,0.13535292,-0.035987277,-0.13060254,-0.19578843
