id_sequence,surge1_t0,surge1_t1,surge1_t2,surge1_t3,surge1_t4,surge1_t5,surge1_t6,surge1_t7,surge1_t8,surge1_t9,surge2_t0,surge2_t1,surge2_t2,surge2_t3,surge2_t4,surge2_t5,surge2_t6,surge2_t7,surge2_t8,surge2_t9
5600,-0.38248664,-0.7942996,-0.099001154,-0.14459088,-0.42132792,-0.57661635,-0.23300633,-0.45135915,-0.26703966,0.660157,-1.1117849,-0.6443431,-1.5143955,-1.2073087,-1.2100098,-0.6319656,-0.24490589,-0.7023186,-0.9203514,-0.44641256
5601,1.3014209,1.0829691,1.0150241,0.22616985,-0.052336268,-0.08075251,1.2262808,1.4517163,0.37061828,0.84268486,-0.5251563,0.36513555,0.36312488,-0.11451784,0.7002482,-0.23866715,0.25638342,0.868661,-0.118686035,-0.75813437
5602,-0.5213445,0.3163063,-0.74511105,0.019468375,0.024332713,-0.4330452,-0.48106775,-0.27412134,-0.6785878,-0.9490569,0.6118212,0.98461676,-0.11795345,-0.2929881,0.46680412,0.5600168,0.4479088,0.2661353,0.77872705,0.34999293
5603,0.80710787,-0.07501406,0.12884843,0.2536431,-0.12017596,-0.19497284,-0.423333,-0.22100274,-0.4828213,-1.2633299,-0.66626537,-0.078023784,-0.73112434,-1.0921056,-0.9644403,-0.917008,-0.7286958,-0.98889536,-0.5890296,0.084704235
5604,0.9180591,0.73134094,0.29808375,0.809943,0.20571354,1.1856927,0.51282626,0.795501,0.5252644,0.44886217,0.57778823,-0.12755659,0.868533,0.6377993,0.9497296,0.2476372,-0.57483286,-0.066882335,-1.0475512,0.5155447
5605,0.22022583,0.27429643,0.24210185,0.45342335,0.9626085,0.51338875,0.50838715,0.3071463,0.6975248,0.54864514,-0.30358496,-0.5577024,-0.31965658,-0.6436351,-0.62685883,-0.6811841,-0.7691296,-0.38470954,-0.8952075,-0.45122984
5606,1.4499353,0.9697171,0.5833545,-0.024844363,0.46636716,0.5536154,0.03595365,-0.22802283,-0.21944186,0.70134294,0.0036553545,0.16872281,0.4033662,0.38344997,0.37778762,0.13391253,0.48996922,0.097214505,-0.6949852,-0.3934057
5607,0.8651483,-0.5700049,-0.77227837,-0.13357504,-0.09776722,-0.18665008,0.65656525,0.466448,0.13334924,-0.16396135,0.60809755,0.4069199,0.9526718,0.10694322,0.38470256,-0.7149002,0.23400596,-0.13997729,0.6535498,-0.40543503
5608,0.026902238,-0.3779528,-0.5903814,-0.24623889,-1.1748781,0.48229685,-0.37520397,-0.37179655,-0.75851977,-1.2165024,-0.0381956,-0.702484,-0.4653465,0.12808946,0.026404649,0.23777865,0.503691,0.29459277,0.038909383,-0.7513905
5609,-0.3239819,-1.0646727,-0.989403,-0.8846924,-0.8670125,-0.23000443,-0.16736071,-0.012449536,0.072739005,-0.6335227,0.3423931,0.27110824,0.8150011,0.78028697,-0.5094522,-0.4677462,-0.19486015,-0.16003847,-0.62764335,-0.2260652
5610,-0.54791975,-0.009223704,-0.7181766,-1.0777345,-1.6195135,-1.4815663,-0.45547095,-1.8131584,-1.1849248,-1.2206509,0.342254,1.1127988,0.56745917,0.53305846,0.30655712,0.16844939,-0.17306495,-0.08795844,0.5591935,0.38294977
5611,1.7356874,2.2297187,1.5967393,0.8021591,0.40289497,0.9316418,0.019037526,-0.67498684,-0.52583355,0.4981587,-0.65272874,-1.5110734,-0.42493102,-1.0980847,-0.974818,-0.60619396,0.06865662,-0.43718725,-0.34679452,0.18601218
5612,0.14622971,-1.1310548,-0.3232115,-0.43241447,0.15935752,-0.01914601,0.3367655,0.3573616,0.05062896,-0.5339025,0.9066159,0.6006097,0.30413678,0.1933905,-0.3046612,0.329775,1.2081398,0.37814018,0.51768553,0.35675907
5613,0.4583139,0.16762143,0.17938074,0.9532754,-0.19046445,0.33215255,-0.6811251,-0.16685155,-0.4247102,-0.8616094,-0.34121612,0.47224432,-0.53198403,-0.8040398,-0.2615228,-0.38634464,0.021923523,-0.22206758,-0.4913694,-1.0411282
5614,-0.6887799,-1.204848,-0.8836152,-1.0440811,-0.7255324,-0.8920162,-1.170587,-0.6663494,-0.8390015,-0.8652659,-0.6823795,-0.7934138,-0.704021,-0.32863346,-0.52454877,-0.5373115,-0.5515191,-0.32940915,-0.45544347,-0.24355505
5615,-0.4523364,-0.6112464,-0.6895293,-1.1385789,-0.7449515,-0.3296162,-0.30550095,-0.37635425,-0.9316737,-0.5248093,-0.17904502,-0.58839107,-0.49597913,-0.73551184,-1.0527277,-0.48250467,0.073698215,0.0877739,-0.73942673,0.13410851
5616,-0.5481102,-0.017592324,0.2048144,-0.15952966,-0.5005556,-1.0598598,-0.31509373,0.5238448,0.19516519,0.5398346,0.01935428,-0.83023566,-0.49137503,-0.6864205,-0.5960404,0.47508916,-0.03808375,-0.40713355,-0.027533688,-0.9777556
5617,-0.044525612,0.36578304,0.10392627,-0.07925066,-0.30734375,-0.28917468,-0.87488604,0.43713534,0.49999774,0.36284068,-0.48277465,-0.11733469,-0.5646882,0.23001508,-0.39671707,0.18437937,-0.49658072,-0.56001806,-0.60900784,-0.27273402
